6R,6Z,5C,5P,4T,4L;1,1,1,3,3,0;0.1,3.2,3.4,6.4,1.6,2.3
6R,6Z,5P,5P,4T,4T;1,1,0,3,3,1;0.1,3.2,3.5,6.4,1.6,2.3
6R,6Z,5P,5P,4T,4Z;3,1,1,0,2,0;5.5,3.2,0.1,1.6,4.3,2.2
6R,6Z,5P,5P,4T,4L;3,1,1,2,3,2;5.5,3.2,0.1,3.4,1.6,2.2
6R,6Z,5P,5P,4T,4Lm;1,1,3,3,3,0;0.1,3.2,4.3,6.4,1.6,2.3
6R,6Z,5P,5P,4T,4O;1,1,1,2,3,0;2.2,3.5,0.1,4.1,1.6,6.5
6R,6Z,5P,5Pm,4T,4L;3,1,0,2,2,0;5.5,3.2,1.6,0.1,4.3,1.3
6R,6Z,5P,5Pm,4T,4Lm;1,1,3,0,3,3;0.1,3.2,6.4,2.3,1.6,3.5
6R,6Z,5P,5Pm,4T,4I;3,1,2,2,3,1;5.5,3.2,3.4,0.1,1.6,1.3
6R,6Z,5P,5Pm,4Z,4O;3,1,2,2,1,0;5.5,1.6,4.1,3.3,1.3,0.1
6R,6D,5P,5P,4T,4O;3,3,2,2,3,0;5.5,1.3,3.4,4.1,1.6,0.1
6R,6A,5Fm,5P,4Z,4O;3,1,3,0,1,0;5.5,4.1,3.3,1.6,1.3,0.1
6R,6A,5F,5N,4T,4O;1,1,2,2,3,0;0.1,4.1,2.3,3.5,1.6,6.5
6R,6A,5F,5P,4T,4Lm;1,1,2,3,3,3;0.1,4.1,2.3,6.4,1.6,3.5
6R,6A,5F,5P,4Z,4O;3,3,0,2,1,0;5.5,1.6,3.3,4.1,1.3,0.1
6R,6A,5T,5Pm,4T,4Z;3,1,0,2,3,1;5.5,4.1,1.3,0.1,1.6,3.5
6R,6A,5Ym,5P,4T,4O;1,1,3,3,3,0;0.1,4.1,2.3,6.4,1.6,4.4
6R,6A,5Ym,5Pm,4T,4Lm;1,1,3,0,3,1;0.1,4.1,2.3,5.5,1.6,4.4
6R,6A,5N,5Pm,4T,4T;3,3,2,2,1,2;5.5,1.6,1.3,0.1,4.1,4.3
6R,6A,5P,5P,4T,4T;3,3,1,2,1,2;5.5,1.6,0.1,2.2,4.1,4.3
6R,6A,5P,5P,4T,4Z;3,1,1,1,3,1;5.5,4.1,0.1,2.2,1.6,3.5
6R,6A,5P,5P,4T,4O;3,3,0,2,2,0;5.5,1.6,1.3,4.1,4.3,0.1
6R,6A,5P,5Pm,4T,4Lm;3,3,2,2,2,3;5.5,1.6,4.1,0.1,4.3,1.3
6R,6O,5P,5P,4T,4T;1,0,2,3,3,3;0.1,3.4,4.1,6.4,1.6,2.3
6R,5Fm,5T,5P,5Pm,4T;3,0,0,2,2,3;5.5,3.5,1.3,4.1,0.1,1.6
6R,5Fm,5C,5P,5P,4T;1,1,1,2,3,3;0.1,2.3,3.4,4.1,6.4,1.6
6R,5Fm,5P,5P,5P,4T;3,0,1,1,2,3;5.5,3.5,0.1,2.2,4.1,1.6
6R,5T,5Ym,5P,5Pm,4T;1,2,3,2,0,3;0.1,4.3,2.3,4.1,5.5,1.6
6R,5T,5P,5P,5Pm,4T;3,0,0,2,2,2;5.5,1.3,1.6,4.1,0.1,4.3
6R,5X,5N,5P,5Pm,4T;1,0,0,2,0,3;0.1,2.3,3.5,4.1,5.5,1.6
6R,5X,5P,5P,5P,4T;1,0,0,2,3,3;0.1,2.3,3.5,4.1,6.4,1.6
6R,5X,5P,5P,5P,4O;3,0,0,0,2,0;5.5,3.4,1.3,1.6,4.1,0.1
6R,5X,5P,5P,5Pm,4Lm;3,0,0,2,2,3;5.5,3.4,1.6,4.1,0.1,1.3
6R,5Ym,5P,5P,5P,4T;1,3,2,3,3,3;0.1,2.3,4.1,4.3,6.4,1.6
6R,5Ym,5P,5P,5Pm,4T;3,2,2,2,2,3;5.5,1.3,3.4,4.1,0.1,1.6
6R,5N,5P,5P,5Pm,4T;1,0,1,2,0,3;2.2,3.5,0.1,4.1,5.5,1.6
6R,5P,5P,5P,5P,4T;3,1,0,1,2,2;5.5,0.1,1.6,2.2,4.1,4.3
6R,5P,5P,5P,5P,4O;3,0,0,2,3,0;3.4,1.3,1.6,4.1,6.4,0.1
6R,5P,5P,5P,5Pm,4T;3,1,2,2,2,3;5.5,0.1,3.4,4.1,2.2,1.6
